"","","Page Name","Page ID","Democrats","Republicans","Candidates Mentioned+","Approx. Spend on Mentions^","# of Ads Mentioning","Sponsor Name(s)","Candidate Page","Approx. Democrat Spend","Approx. Republican Spend"
"992","⊕","Severson for Assembly","111918887167840","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$1,700","2","NA","0","$850","$850"
"993","⊕","The People's Forum: Civil Dialogue between the Right and the Left","102263688280674","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$1,700","2","NA","0","$850","$850"
"994","⊕","ObsessedwithTrump","105287044367027","0.07","0.93","Donald Trump (57), Joseph Biden (4)","$12,926","61","DONALD LEE ROWAN","0","$848","$12,078"
"995","⊕","Tampa Tiger Bay Club","130050797075084","1","0","Maggie Toulouse Oliver* (3)","$846","3","NA","0","$846","$0"
"996","⊕","46th Ward Democrats - Sean Tenner, Committeeman","160427944083369","1","0","Dick Durbin* (2), Joseph Biden (2)","$843","4","NA","0","$843","$0"
"997","⊕","Giant Maga Hat","291102898490822","0.3","0.7","Donald Trump (7), Joseph Biden (3)","$2,806","10","NA","0","$842","$1,964"
"998","⊕","Edward B. Goehring","653446288035243","0.15","0.85","Donald Trump (35), Joseph Biden (6)","$5,749","41","NA","0","$841","$4,908"
"999","⊕","Roy Cooper","192013990902459","0.67","0.33","Joseph Biden (20), Donald Trump (10)","$1,262","30","ROY COOPER FOR NORTH CAROLINA","0","$841","$421"
"1000","⊕","Zogby Analytics","101322081505050","0.6","0.4","Joseph Biden (3), Donald Trump (2)","$1,400","5","NA","0","$840","$560"
"1001","⊕","Delaware Valley Journal","100338474957475","0.36","0.64","Donald Trump (16), Joseph Biden (9)","$2,329","25","NA","0","$838","$1,491"
"1002","⊕","Grassroots Law Project","104721201111500","0.43","0.57","Donald Trump (13), Ed Tarver* (10)","$1,918","23","NA","0","$834","$1,084"
"1003","⊕","Elect Alicia Britt Pierce for Wayne County Commissioner At-Large","101889617994795","1","0","Elysabeth Britt* (1)","$833","1","NA","0","$833","$0"
"1004","⊕","CatholicVote","70874333603","0.81","0.19","Joseph Biden (17), Donald Trump (4)","$1,028","21","NA","0","$832","$196"
"1005","⊕","Robert Wintner Author","110331043820765","0.36","0.64","Donald Trump (7), Joseph Biden (4), Joseph Kennedy III* (4)","$2,289","15","NA","0","$832","$1,457"
"1006","⊕","Elect Ashley Carson Cottingham","102207351394382","1","0","Joseph Biden (2)","$831","2","NA","0","$831","$0"
"1007","⊕","Campbell 4 SC Senate District 46","2600283876672309","1","0","Jaime R. Harrison* (2)","$825","2","NA","0","$825","$0"
"1008","⊕","Huck's Army","13588058967","0.38","0.62","Donald Trump (5), Joseph Biden (3), Mitch McConnell* (1)","$2,200","9","NA","0","$825","$1,375"
"1009","⊕","Steve Block for Belvedere City Council","101113248319461","0.25","0.75","Sandy Smith* (3), Cindy Hyde-Smith* (1), Maya Dillard Smith* (1)","$3,300","5","NA","0","$825","$2,475"
"1010","⊕","The Democratic Senate Action Committee","109259897568722","0.48","0.48","Donald Trump (7), Jaime R. Harrison* (4), Lindsey Graham* (4), Steve Bullock* (3), Steve Daines* (3), David Perdue* (2), Jon Ossoff* (2), Joseph Biden (2), Al Gross* (1), Cindy Hyde-Smith* (1), Joni Ernst* (1), Mike Espy* (1), Theresa Greenfield* (1)","$1,725","32","NA","0","$825","$825"
"1011","⊕","Thomas County Democratic Party","160298430652298","1","0","Joseph Biden (2)","$825","2","NA","0","$825","$0"
"1012","⊕","theobamachicksbook","104796740879587","0.57","0.43","Joseph Biden (4), Donald Trump (3)","$1,432","7","PAMELA JASPER","0","$818","$614"
"1013","⊕","Kreative Living","473927336125675","0.5","0.5","Donald Trump (6), Joseph Biden (6)","$1,630","12","NA","0","$815","$815"
"1014","⊕","Ed Tarver","103493557901081","0.45","0.52","Kelly Loeffler* (11), Mark Kelly* (11), Donald Trump (4), Raphael Warnock* (2), Al Gross* (1), Doug Collins* (1), Joseph Biden (1), Mitch McConnell* (1), Susan Collins* (1)","$1,814","33","TARVER, EDWARD J.","1","$813","$938"
"1015","⊕","Miami-Dade Cuban-American Dems","266693513444983","0.55","0.45","Joseph Biden (11), Donald Trump (9)","$1,479","20","NA","0","$813","$666"
"1016","⊕","The Glorious American","393378807935125","0.67","0.33","Joseph Biden (2), Donald Trump (1)","$1,219","3","NA","0","$813","$406"
"1017","⊕","Lisa Pavlock for House District 93","111247993833532","1","0","Mark Kelly* (1)","$810","1","NA","0","$810","$0"
"1018","⊕","Dishonest Daines","115136483565562","0.14","0.86","Steve Daines* (24), Steve Bullock* (4)","$5,653","28","NA","0","$808","$4,845"
"1019","⊕","Demand Justice","169130470583214","0.04","0.96","Susan Collins* (126), Mitch McConnell* (61), Donald Trump (37), Chris Coons* (8)","$21,726","232","DEMAND JUSTICE","0","$805","$20,921"
"1020","⊕","21st Century Democrats","9576993695","1","0","Joseph Biden (2)","$802","2","21ST CENTURY DEMOCRATS","0","$802","$0"
"1021","⊕","Eurasia Group","96710501132","0.37","0.63","Donald Trump (5), Joseph Biden (3)","$2,140","8","NA","0","$802","$1,338"
"1022","⊕","Action Network of Darien Democrats","112688960171205","1","0","Joseph Biden (1)","$800","1","NA","0","$800","$0"
"1023","⊕","All Things Relevant Media","104028571119726","0.5","0.5","Donald Trump (2), Joseph Biden (2)","$1,600","4","NA","0","$800","$800"
"1024","⊕","Biden Harris 2020 gear","111854997308582","1","0","Joseph Biden (14)","$800","14","","0","$800","$0"
"1025","⊕","Cognitive Thinkers for Biden","113990157070060","1","0","Joseph Biden (2)","$800","2","","0","$800","$0"
"1026","⊕","Dartanyon A Williams","113387567024869","1","0","WILLIAMS, DARTANYON A. (5), Joseph Biden (2), Angela Williams* (1)","$800","8","NA","0","$800","$0"
"1027","⊕","DC4Biden","113024713718583","1","0","Joseph Biden (6)","$800","6","MONICA LOUISE ROACHE","0","$800","$0"
"1028","⊕","Delaware County Democratic Party","195275985287","1","0","Joseph Biden (1)","$800","1","NA","0","$800","$0"
"1029","⊕","Fortyfourthprez","1860025597617881","1","0","Joseph Biden (6)","$800","6","NA","0","$800","$0"
"1030","⊕","Here's The Issue","106780077745632","0.5","0.5","Donald Trump (2), Joseph Biden (2)","$1,600","4","NA","0","$800","$800"
"1031","⊕","Jerry Allen for Senate","107226574233018","0.67","0.33","Joseph Biden (2), Donald Trump (1)","$1,200","3","","1","$800","$400"
"1032","⊕","Optimal Money Flow","113003530400863","1","0","Joseph Biden (1)","$800","1","NA","0","$800","$0"
"1033","⊕","Political Poopers","350184645059466","0.33","0.67","Donald Trump (2), Joseph Biden (1)","$2,400","3","NA","0","$800","$1,600"
"1034","⊕","Stacey Abrams for Vice President","111061857325061","1","0","Joseph Biden (11)","$800","11","NA","0","$800","$0"
"1035","⊕","The Digital Revolution","103438411490623","0.5","0.5","Gary Peters* (1), John James* (1)","$1,600","2","NA","0","$800","$800"
"1036","⊕","The race brand.","262941177855669","1","0","Joseph Biden (3)","$800","3","NA","0","$800","$0"
"1037","⊕","Kirk Bangstad for Wisconsin","860279517359093","0.17","0.83","Donald Trump (23), Joseph Biden (4), Charles Booker* (1), Mitch McConnell* (1)","$4,634","29","NA","0","$799","$3,835"
"1038","⊕","Susan Moran for State Senate  - Plymouth & Barnstable District","106431740799515","0.8","0.2","Steve Swenson* (3), Edward Markey* (2), Ted Terry* (2), Joseph Kennedy III* (1), Joshua Wheeler* (1), Scott Taylor* (1)","$999","10","NA","0","$799","$200"
"1039","⊕","Savage Outdoors & The One","195704103779569","0.07","0.93","Donald Trump (79), Joseph Biden (6)","$11,199","85","NA","0","$791","$10,408"
"1040","⊕","Sheets Law Firm, P.C.","638955386458447","1","0","Jack Reed* (3), Charles Booker* (1)","$784","4","NA","0","$784","$0"
"1041","⊕","Common Sense American Politics","461530314600399","0.65","0.35","Joseph Biden (13), Donald Trump (7)","$1,203","20","NA","0","$782","$421"
"1042","⊕","Don Bolduc","310875636463673","0.36","0.64","Bryant Messner* (5), Jeanne Shaheen* (4), Mitch McConnell* (2), Tricia Flanagan* (2)","$2,143","13","BOLDUC, DONALD C.","1","$779","$1,364"
"1043","⊕","Bo Hatchett for State Senate","100698124863349","0.21","0.79","Donald Trump (14), Roy Moore* (14), Deborah Jackson* (4), Ted Terry* (2), Kandiss Taylor* (1), Scott Taylor* (1)","$3,754","36","NA","0","$777","$2,977"
"1044","⊕","Kahler Financial Group","193745960583","1","0","Joseph Biden (1)","$777","1","NA","0","$777","$0"
"1045","⊕","Goodbye & Good Riddance","338734582833491","0.22","0.78","Donald Trump (7), Joseph Biden (2), Mitch McConnell* (1)","$3,494","10","NA","0","$776","$2,718"
"1046","⊕","Marissa for Judge","103531591222882","1","0","Joseph Biden (10)","$775","10","NA","0","$775","$0"
"1047","⊕","Mike Bloomberg","6756153498","0.04","0.96","Mitch McConnell* (51), Donald Trump (3), Joseph Biden (2)","$21,636","56","BLOOMBERG PHILANTHROPIES, BLOOMBERG, MICHAEL R., INDEPENDENCE USA PAC, INDEPENDENCE USA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE., THE CAMPAIGN FOR TOBACCO-FREE KIDS","1","$773","$20,863"
"1048","⊕","Friends of Derek Kilmer","107199049318619","0.06","0.94","Derek Levasseur* (107), Donald Trump (92), Mitch McConnell* (24), Joseph Biden (12)","$13,572","235","KILMER, DEREK","1","$772","$12,800"
"1049","⊕","Joe East - Patriots for a Great America","109133920629256","0.33","0.67","Donald Trump (2), Joseph Biden (1)","$2,317","3","NA","0","$772","$1,545"
"1050","⊕","Kirsten Gillibrand","6820348410","0.4","0.6","Mitch McConnell* (275), Amy McGrath* (205), Donald Trump (194), Jaime R. Harrison* (18), Lindsey Graham* (16), Barbara Bollier* (11), Joseph Biden (8), M.J. Hegar* (8), Sara Gideon* (8), Theresa Greenfield* (8), Mark Kelly* (2)","$1,940","753","GILLIBRAND, KIRSTEN, OFF THE SIDELINES","1","$772","$1,168"
"1051","⊕","Mac Warner for West Virginia","163577940643007","0.33","0.67","Donald Trump (17), Mark Warner* (7), Joseph Biden (2), Jaime R. Harrison* (1), OSBORNE, JOHN E. (1)","$2,316","28","NA","0","$772","$1,544"
"1052","⊕","Lex, Buds & Pick n Roll","104099361274136","0.43","0.57","Donald Trump (4), Joseph Biden (2), Amy McGrath* (1)","$1,800","7","NA","0","$771","$1,029"
"1053","⊕","Think Things Through","109505344096030","0.33","0.67","Donald Trump (2), Joseph Biden (1)","$2,300","3","NA","0","$767","$1,533"
"1054","⊕","Timothy Meeks Independent Candidate 4 President of the United States","100659698411003","0.33","0.67","Donald Trump (2), Joseph Biden (1)","$2,300","3","NA","0","$767","$1,533"
"1055","⊕","Walton County Politics","184972145258620","1","0","Joseph Biden (4)","$765","4","NA","0","$765","$0"
"1056","⊕","The Accountability Project","110263337470423","0.27","0.73","Donald Trump (8), Joseph Biden (3)","$2,800","11","NA","0","$764","$2,036"
"1057","⊕","Concerned Citizens for Nuclear Safety (CCNS)","100405956709980","0.83","0.17","Tom Udall* (5), Ben Ray Lujan* (2), Robert Marshall* (1)","$912","8","CONCERNED CITIZENS FOR NUCLEAR SAFETY","0","$760","$152"
"1058","⊕","Liker","357554791340788","0.1","0.9","Donald Trump (89), Joseph Biden (10)","$7,527","99","NA","0","$760","$6,767"
"1059","⊕","Trey Martinez Fischer","146090622075581","0.55","0.45","Joseph Biden (12), Donald Trump (10)","$1,393","22","NA","0","$760","$633"
"1060","⊕","American Mind","471487683059990","0.31","0.69","Donald Trump (9), Joseph Biden (5), Tom Cotton* (2)","$2,430","16","NA","0","$759","$1,671"
"1061","⊕","David Richter","109729897041138","0.11","0.89","Donald Trump (109), Cory Booker* (14)","$6,625","123","RICHTER, DAVID","1","$754","$5,871"
"1062","⊕","Etch The Edges","108838804083071","0.19","0.81","Donald Trump (25), Joseph Biden (6)","$3,884","31","NA","0","$752","$3,132"
"1063","⊕","North Carolina Filipino Americans for Biden","107263887794740","1","0","Joseph Biden (5)","$752","5","","0","$752","$0"
"1064","⊕","Political Divides","115609796539370","0.5","0.5","Donald Trump (4), Joseph Biden (4)","$1,500","8","NA","0","$750","$750"
"1065","⊕","Tallapoosa County Democratic Party","2311386455798752","1","0","Doug Jones* (3)","$747","3","NA","0","$747","$0"
"1066","⊕","Gordon Page For Senate","107091300776072","1","0","KNOX, JAMES (1)","$745","1","","1","$745","$0"
"1067","⊕","Carroll Times Herald","331760896707","1","0","Angela Williams* (1)","$743","1","NA","0","$743","$0"
"1068","⊕","Inspired Design T-Shirts","1193518547354511","0.57","0.43","Joseph Biden (4), Donald Trump (3)","$1,300","7","NA","0","$743","$557"
"1069","⊕","Peter Helms","104488577782903","1","0","Joseph Biden (1)","$743","1","NA","0","$743","$0"
"1070","⊕","CWA Political Action","204061816378061","1","0","Sarah Riggs Amico* (7)","$740","7","COMMUNICATIONS WORKERS OF AMERICA, COMMUNICATIONS WORKERS OF AMERICA; AFL-CIO; CLC","0","$740","$0"
"1071","⊕","The Burkean Conservative","556053417823972","0.25","0.75","Donald Trump (2), Jeff Sessions* (1), Joseph Biden (1)","$2,957","4","NA","0","$739","$2,218"
"1072","⊕","Mammoth Nation","408526523045391","0.14","0.86","Donald Trump (35), Joseph Biden (6), Jim Risch* (1)","$5,162","42","NA","0","$737","$4,425"
"1073","⊕","Nueces County Democratic Party","264267316919470","0.8","0.2","Joseph Biden (4), Donald Trump (1)","$912","5","DEMOCRATIC PARTY OF NUECES COUNTY","0","$730","$182"
"1074","⊕","TrumpTweets.store","112234313766376","0.29","0.71","Donald Trump (17), Joseph Biden (7)","$2,500","24","TRUMPTWEETS.STORE","0","$729","$1,771"
"1075","⊕","Montana Business Leadership Council","153809624658254","0.11","0.89","Steve Daines* (8), Steve Bullock* (1)","$6,514","9","MONTANA BUSINESS LEADERSHIP COUNCIL","0","$724","$5,790"
"1076","⊕","Bedford Republican Committee Bedford NH","103462479704439","0.25","0.75","Bryant Messner* (2), Don Bolduc* (1), Theresa Greenfield* (1)","$2,885","4","NA","0","$721","$2,164"
"1077","⊕","Madison Cawthorn for Congress","100233228182981","0.08","0.92","Donald Trump (107), Joseph Biden (9)","$9,271","116","CATHORN, DAVID MADISON","1","$719","$8,552"
"1078","⊕","Anti-Catholic Ticket","105661847921058","1","0","Joseph Biden (1)","$717","1","NA","0","$717","$0"
"1079","⊕","AFSCME","6165653060","0.72","0.28","Joseph Biden (25), Edward Markey* (8), Mitch McConnell* (5), Jeff Sessions* (4), Donald Trump (3), Bill Cassidy* (1)","$996","46","AFSCME, AFSCME; AFL-CIO","0","$715","$281"
"1080","⊕","All Out Canvas","100395008242263","0.19","0.81","Donald Trump (13), Joseph Biden (3)","$3,793","16","NA","0","$711","$3,082"
"1081","⊕","Contranym Times","402721240123857","0.13","0.87","Donald Trump (27), Joseph Biden (3), Merav Ben-David* (1), Mitch McConnell* (1), Nancy Harris* (1), Susan Collins* (1)","$5,482","34","NA","0","$707","$4,775"
"1082","⊕","Dallas Regional Chamber","125180520850373","1","0","M.J. Hegar* (3)","$707","3","ROBYN RENEE BOREN","0","$707","$0"
"1083","⊕","Trump Signs","110035463860647","0.17","0.83","Donald Trump (10), Joseph Biden (2)","$4,227","12","BANKOV ENTERPRISES LLC","0","$704","$3,522"
"1084","⊕","Friends of House of Providence","109578110815571","1","0","Jack Daniel Foster Jr.* (3)","$702","3","NA","0","$702","$0"
"1085","⊕","An American Pay Phone","324093611371135","1","0","Joseph Biden (2)","$700","2","NA","0","$700","$0"
"1086","⊕","Chris Mann","23169911720","0.5","0.5","Donald Trump (2), Joseph Biden (2)","$1,400","4","NA","0","$700","$700"
"1087","⊕","Commissioner Felicia Franklin Warner","1492958791008996","1","0","Jeanne Shaheen* (3)","$700","3","SHAHEEN ARMAUDE SOLOMON","1","$700","$0"
"1088","⊕","Hill Media Strategies, LLC","442066282587365","1","0","Joseph Biden (1)","$700","1","NA","0","$700","$0"
"1089","⊕","Ivelostmymarbles.com","114841756979418","1","0","Joseph Biden (1)","$700","1","NA","0","$700","$0"
"1090","⊕","Jeanne J. Fisher, CFP","226718277436203","1","0","Joseph Biden (1)","$700","1","NA","0","$700","$0"
"1091","⊕","Kamalatees.com","110678420758237","1","0","Joseph Biden (2), Nancy Harris* (1)","$700","3","","0","$700","$0"
"1092","⊕","Kelly Kitashima - You Deserve a Choice 2020","223688848179985","1","0","Mark Kelly* (2)","$700","2","NA","0","$700","$0"
"1093","⊕","Pflugerville Area Democrats","2202865753281559","1","0","Joseph Biden (1), M.J. Hegar* (1)","$700","2","NA","0","$700","$0"
"1094","⊕","Please Don't Vote for Joe Biden","110139794020263","1","0","Joseph Biden (2)","$700","2","","0","$700","$0"
"1095","⊕","Politics, as usual","102406531474397","1","0","Joseph Biden (2)","$700","2","NA","0","$700","$0"
"1096","⊕","Rep. Stephanie T. Bolden","203276240213924","1","0","Chris Coons* (1)","$700","1","NA","0","$700","$0"
"1097","⊕","Squirrel Den Studio","207471092717204","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$1,400","2","NA","0","$700","$700"
"1098","⊕","Sunshine Sentinel","115158766986691","1","0","Joseph Biden (1)","$700","1","NA","0","$700","$0"
"1099","⊕","The Daily Deuce","100722234936557","1","0","Joseph Biden (1)","$700","1","NA","0","$700","$0"
"1100","⊕","Tom Talks","107399554444402","1","0","Joseph Biden (4)","$700","4","NA","0","$700","$0"
"1101","⊕","Vote JoCasta","133440366675635","1","0","Joseph Biden (1)","$700","1","NA","0","$700","$0"
"1102","⊕","Vzlnos con Biden","103282611436569","1","0","Joseph Biden (2)","$700","2","","0","$700","$0"
"1103","⊕","Wolf Of Light News","101374931506159","1","0","Joseph Biden (2)","$700","2","NA","0","$700","$0"
"1104","⊕","Elbert Lee Guillory","216705888361546","0.83","0.17","Joseph Biden (5), Donald Trump (1)","$832","6","ELBERT GUILLORY'S AMERICA","0","$693","$139"
"1105","⊕","Asian American Advocacy Fund","401583820566367","0.86","0.14","Jon Ossoff* (3), Raphael Warnock* (3), Angela Williams* (1), Donald Trump (1), Mark Kelly* (1)","$807","9","NA","0","$692","$115"
"1106","⊕","B.M.B Tell It Like It Is","102207644735897","0.5","0.5","Donald Trump (2), Joseph Biden (2)","$1,382","4","NA","0","$691","$691"
"1107","⊕","Ryan Derks for US Congress","104227857783529","0.25","0.75","Donald Trump (12), Donald Trump (12), Bernie Sanders (1)","$2,755","25","DERKS, RYAN","1","$689","$2,066"
"1108","⊕","Ryan Derks for US Congress","104227857783529","0.25","0.75","Donald Trump (15), Donald Trump (15), Joseph Biden (5)","$2,755","35","DERKS, RYAN","0","$689","$2,066"
"1109","⊕","MA Taxpayers Best Ally","1407162012935825","0.83","0.17","John Walsh* (5), Donald Trump (1)","$825","6","NA","0","$688","$138"
"1110","⊕","Page County Indivisible","280965405706900","0.1","0.9","Donald Trump (74), Joseph Biden (8), Kris Kobach* (1), Lindsey Graham* (1)","$7,050","84","NA","0","$688","$6,362"
"1111","⊕","Trey Allen for State Senate","103435551277490","0.78","0.22","Deborah Jackson* (6), David Perdue* (2), Trevor Fuller* (1)","$883","9","NA","0","$687","$196"
"1112","⊕","Zina Spezakis for Congress NJ9","2015249512117888","0.47","0.53","Donald Trump (9), Lawrence Hamm* (8)","$1,459","17","SPEZAKIS, ZINOVIA","1","$687","$772"
"1113","⊕","Jesus Christ Savior by Beliefnet","102771646440276","0.5","0.5","Donald Trump (2), Joseph Biden (2)","$1,364","4","NA","0","$682","$682"
"1114","⊕","CASE Action","324569504564505","0.5","0.5","Donald Trump (4), Joseph Biden (4)","$1,361","8","CASE ACTION FUND","0","$680","$680"
"1115","⊕","Demavengers","102793844747859","0.33","0.67","Donald Trump (3), Joseph Biden (3), Lindsey Graham* (3)","$2,040","9","NA","0","$680","$1,360"
"1116","⊕","Florida Phoenix News","187560865294701","0.82","0.18","Angela Williams* (9), Dick Durbin* (9), Donald Trump (4)","$828","22","FLORIDA PHOENIX","0","$677","$151"
"1117","⊕","Elect Sheree M Evans Morgan County Tax Commissioner","102070098048142","1","0","Doug Jones* (1)","$675","1","NA","0","$675","$0"
"1118","⊕","Dr. Rich McCormick for Congress","434224137354568","0.08","0.92","Donald Trump (114), Joseph Biden (8), Nancy Harris* (2)","$8,348","124","MCCORMICK, RICHARD DEAN DR.","1","$673","$7,675"
"1119","⊕","Republican Party of Virginia","174057765941","0.36","0.64","Donald Trump (24), Daniel Gade* (14), Mark Warner* (14), Joseph Biden (7), Daniel McCarthy* (3), Alissa Baldwin* (1), Scott Taylor* (1), Thomas Speciale* (1)","$1,891","65","REPUBLICAN PARTY OF VIRGINIA","0","$673","$1,218"
"1120","⊕","Save the Alamo","187713745097888","0.83","0.17","Sema Hernandez* (7), Amanda Edwards* (3), Donald Trump (2)","$806","12","NA","0","$672","$134"
"1121","⊕","WhistleBlower Secret Society","107280290809144","1","0","Donald Trump (5)","$668","5","NA","0","$668","$0"
"1122","⊕","WhistleBlower Secret Society","107280290809144","1","0","Joseph Biden (1)","$668","1","NA","0","$668","$0"
"1123","⊕","Berkshire Democratic Brigades","202261946452690","0.33","0.67","Donald Trump (2), Joseph Biden (1)","$2,000","3","","0","$667","$1,333"
"1124","⊕","Making Congress Great Again","103694317846862","1","0","Doug Jones* (7)","$667","7","MAKING CONGRESS GREAT AGAIN","0","$667","$0"
"1125","⊕","Right Here Radio","1608102819435580","1","0","Joseph Biden (11)","$667","11","NA","0","$667","$0"
"1126","⊕","Veterans For Responsible Leadership","2038477456439436","0.62","0.38","Joseph Biden (66), Donald Trump (41)","$1,079","107","NA","0","$666","$413"
"1127","⊕","Iowa Rural Power","1415269502052075","0.67","0.33","Cory Booker* (2), John Walsh* (2), Joni Ernst* (1)","$998","5","IOWA ASSOCIATION OF ELECTRIC COOPERATIVES","0","$665","$333"
"1128","⊕","Neighbors for Steve Folz for State Representative House District 76","177795649493321","0.6","0.4","Joseph Biden (3), Donald Trump (2)","$1,109","5","NA","0","$665","$444"
"1129","⊕","Kelly Morrison for Minnesota House - District 33B","153385632035294","0.57","0.43","Mark Kelly* (4), Donald Trump (3)","$1,159","7","NA","0","$662","$497"
"1130","⊕","Matt Meyer","545313338963764","0.4","0.6","Donald Trump (3), Donald Trump (3), Susan Collins* (2)","$1,654","8","NA","0","$662","$992"
"1131","⊕","Matt Meyer","545313338963764","0.4","0.6","Donald Trump (3), Donald Trump (3), Joseph Biden (2)","$1,654","8","NA","0","$662","$992"
"1132","⊕","Democratic Voter Project","102477111567586","1","0","Joseph Biden (6)","$660","6","DEMOCRATIC VOTER PROJECT","0","$660","$0"
"1133","⊕","Madeline Eden For Texas House District 17","1769458310023327","0.75","0.25","Joseph Biden (3), Donald Trump (1)","$877","4","NA","0","$658","$219"
"1134","⊕","Mari-Lynn Poskin for Kansas","663743610731643","1","0","Barry Grissom* (1), Mark Kelly* (1)","$658","2","NA","0","$658","$0"
"1135","⊕","Albemarle County Democratic Party","107474664250","0.43","0.57","Donald Trump (13), Joseph Biden (10)","$1,512","23","NA","0","$657","$855"
"1136","⊕","Dr. Kelly Johnson for Georgia","176898109856979","0.5","0.5","Kelly Loeffler* (4), Mark Kelly* (4)","$1,305","8","NA","0","$652","$652"
"1137","⊕","FairMapsVA","364773250335035","1","0","Amanda Edwards* (1), Chris Bell* (1)","$651","2","ONEVIRGINIA2021","0","$651","$0"
"1138","⊕","FairMapsVA","364773250335035","1","0","Jeff Sessions* (1)","$651","1","ONEVIRGINIA2021","0","$651","$0"
"1139","⊕","Off The Sidelines","229841253698157","0.23","0.77","Donald Trump (15), Mitch McConnell* (8), Amy McGrath* (6)","$2,820","29","OFF THE SIDELINES","0","$651","$2,169"
"1140","⊕","Denise Ricciardi for NH Senate 9","100696194942652","0.5","0.5","Bryant Messner* (1), Theresa Greenfield* (1)","$1,300","2","NA","0","$650","$650"
"1141","⊕","Endsley Creations","100999494600040","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$1,300","2","NA","0","$650","$650"
"1142","⊕","Jose Jimenez for State Senate","108724720718116","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$1,300","2","NA","0","$650","$650"
"1143","⊕","National Treasures","109035147533100","0.5","0.5","Donald Trump (1), Joseph Biden (1)","$1,300","2","NA","0","$650","$650"
"1144","⊕","Biden & Commala 2020","106469237841757","0.92","0.08","Joseph Biden (12), Donald Trump (1)","$700","13","","0","$646","$54"
"1145","⊕","Indivisible Pittsburgh","364016010633899","0.5","0.5","Donald Trump (3), Joseph Biden (3)","$1,291","6","NA","0","$646","$646"
"1146","⊕","Joe Reed 4 GA State House District 129","111544626920856","1","0","Jack Reed* (2), John Love III* (1), Joseph Kennedy III* (1)","$646","4","NA","0","$646","$0"
"1147","⊕","ShirtCrafts.com","2402354339982550","0.5","0.5","Donald Trump (6), Joseph Biden (6)","$1,291","12","NA","0","$646","$646"
"1148","⊕","Trumping America","108336984111712","0.29","0.71","Donald Trump (5), Joseph Biden (2)","$2,254","7","OMIDREZA BAGHERZADEH KHORSANDI, TRUMPING AMERICA","0","$644","$1,610"
"1149","⊕","Jo Jorgensen","106224464107240","0.5","0.5","Donald Trump (4), Joseph Biden (4)","$1,278","8","JORGENSEN, JO","1","$639","$639"
"1150","⊕","Perkins for Congress","1556269487954950","1","0","Jeff Merkley* (1)","$638","1","PERKINS, JO RAE","1","$638","$0"
"1151","⊕","Rep. Vernon Jones","102365161385138","0.33","0.67","Donald Trump (4), Donald Trump (4), Joseph Biden (2)","$1,908","10","NA","0","$636","$1,272"
"1152","⊕","Rep. Vernon Jones","102365161385138","0.33","0.67","Donald Trump (1), Donald Trump (1)","$1,908","2","NA","0","$636","$1,272"
"1153","⊕","Yarmouth Democratic Committee","2006503516062471","1","0","Jaime R. Harrison* (2)","$636","2","YARMOUTH DEMOCRATIC TOWN CMTE","0","$636","$0"
"1154","⊕","Kelly Wilkerson","111875323829541","1","0","Mark Kelly* (1)","$634","1","NA","0","$634","$0"
"1155","⊕","You are Not A Racist","1873632079623002","1","0","Joseph Biden (4)","$633","4","NA","0","$633","$0"
"1156","⊕","Flag and Cross","2254455051442790","0.2","0.8","Donald Trump (35), Joseph Biden (9)","$3,090","44","NA","0","$632","$2,458"
"1157","⊕","Jean Parapet","100965751552670","1","0","Joseph Biden (1)","$631","1","NA","0","$631","$0"
"1158","⊕","Mercer County Democrats - Ohio","460377920712147","0.88","0.12","Joseph Biden (7), Donald Trump (1)","$720","8","NA","0","$630","$90"
"1159","⊕","F1RST WARRIOR","1370474066365196","0.17","0.83","Donald Trump (25), Joseph Biden (5)","$3,753","30","NA","0","$626","$3,128"
"1160","⊕","Representative Kelly Townsend","194868063913","1","0","Mark Kelly* (16)","$625","16","TOWNSEND FOR SENATE","1","$625","$0"
"1161","⊕","Alder Darryl Brackeen Jr","392334540852644","0.86","0.14","Joseph Biden (6), Donald Trump (1)","$726","7","NA","0","$622","$104"
"1162","⊕","The Mitch McConnell Retirement Committee","104644481159870","0.11","0.89","Mitch McConnell* (16), Amy McGrath* (2), Charles Booker* (2), Mike Broihier* (2), Donald Trump (1)","$5,600","23","AARON LEWIS VILES, INDIVISIBLE PROJECT, THE MITCH MCCONNELL RETIREMENT COMMITTEE","0","$622","$4,978"
"1163","⊕","Colorado Newsline","102690744797075","0.32","0.68","Donald Trump (20), Trish Zornio* (9), Cory Gardner* (6), Andrew Romanoff* (2), Cory Booker* (2), John Hickenlooper* (2), Bryan Pruitt* (1), Joseph Biden (1)","$1,912","43","NA","0","$620","$1,292"
"1164","⊕","John Mues for Montana","445262262901406","0.48","0.52","Steve Daines* (13), Dylan Billings* (9), John Love III* (4), Amy McGrath* (2), Angela Williams* (2), Eric Mansfield* (2), Mitch McConnell* (2), Donald Trump (1), Mark Kelly* (1)","$1,285","36","MUES, JOHN","1","$619","$666"
